11AM	3-9-8	8/5/2018	4,500.00	442
11AM	5-8-6	8/6/2018	4,500.00	250
11AM	0-9-4	8/7/2018	4,500.00	71
11AM	5-0-2	8/8/2018	4,500.00	290
11AM	9-5-7	8/9/2018	4,500.00	311
11AM	8-3-5	8/10/2018	4,500.00	472
11AM	7-5-7	8/11/2018	4,500.00	291
11AM	7-0-1	8/12/2018	4,500.00	153
11AM	2-8-3	8/13/2018	4,500.00	358
11AM	7-0-5	8/14/2018	4,500.00	198
11AM	1-6-9	8/15/2018	4,500.00	428
11AM	3-7-8	8/16/2018	4,500.00	275
11AM	7-9-4	8/17/2018	4,500.00	114
11AM	3-0-2	8/18/2018	4,500.00	195
11AM	7-9-1	8/19/2018	4,500.00	201
11AM	4-6-0	8/20/2018	4,500.00	329
11AM	8-8-6	8/21/2018	4,500.00	162
11AM	0-9-8	8/22/2018	4,500.00	336
11AM	5-0-3	8/23/2018	4,500.00	835
11AM	4-5-9	8/24/2018	4,500.00	379
11AM	2-9-9	8/25/2018	4,500.00	225
11AM	5-2-4	8/26/2018	4,500.00	348
11AM	4-6-4	8/27/2018	4,500.00	245
11AM	4-9-4	8/28/2018	4,500.00	207
11AM	5-0-6	8/29/2018	4,500.00	326
11AM	7-6-1	8/30/2018	4,500.00	313
11AM	3-8-5	8/31/2018	4,500.00	256
11AM	2-8-0	9/1/2018	4,500.00	321
11AM	5-7-9	9/2/2018	4,500.00	234
11AM	2-8-6	9/3/2018	4,500.00	317
11AM	1-2-0	9/4/2018	4,500.00	398
11AM	3-6-0	9/5/2018	4,500.00	329
11AM	0-9-0	9/6/2018	4,500.00	152
11AM	2-8-3	9/7/2018	4,500.00	163
11AM	7-8-2	9/8/2018	4,500.00	190
11AM	7-7-2	9/9/2018	4,500.00	186
11AM	5-7-0	9/10/2018	4,500.00	221
11AM	8-1-2	9/11/2018	4,500.00	300
11AM	5-1-3	9/12/2018	4,500.00	272
11AM	9-9-4	9/13/2018	4,500.00	129
11AM	0-1-9	9/14/2018	4,500.00	193
11AM	1-1-6	9/15/2018	4,500.00	627
11AM	3-8-2	9/16/2018	4,500.00	121
11AM	6-2-2	9/17/2018	4,500.00	269
11AM	5-2-6	9/18/2018	4,500.00	641
11AM	7-7-3	9/19/2018	4,500.00	153
11AM	7-4-7	9/20/2018	4,500.00	352
11AM	1-3-8	9/21/2018	4,500.00	531
11AM	7-0-5	9/22/2018	4,500.00	161
11AM	9-9-1	9/23/2018	4,500.00	389
11AM	1-4-5	9/24/2018	4,500.00	277
11AM	6-5-6	9/25/2018	4,500.00	129
11AM	8-9-9	9/26/2018	4,500.00	99
11AM	5-2-0	9/27/2018	4,500.00	302
11AM	0-3-8	9/28/2018	4,500.00	111
11AM	5-5-3	9/29/2018	4,500.00	196
11AM	9-0-0	9/30/2018	4,500.00	249
11AM	3-5-1	10/1/2018	4,500.00	227
11AM	2-2-1	10/2/2018	4,500.00	370
11AM	3-0-2	10/3/2018	4,500.00	537
11AM	0-8-1	10/4/2018	4,500.00	133
11AM	9-2-0	10/5/2018	4,500.00	444
